horizon_sessions,factor,factor_label,factor_type,target,version,mean_rank_ic,rank_ic_ir,positive_ic_rate,top_bottom_spread,period_count
60,risk_volatility_20d,20日波动率风险,风险因子,回撤风险,原始,0.29461520154342935,1.6130790613353165,0.9642857142857143,0.08992400005507166,28
60,risk_volatility_20d,20日波动率风险,风险因子,回撤风险,中性化,0.22880990417842065,1.6787496125778774,0.9642857142857143,0.07445611908040357,28
60,risk_volatility_60d,60日波动率风险,风险因子,回撤风险,原始,0.3001548292293176,1.7291052961901943,0.9285714285714286,0.08903007078673474,28
60,risk_volatility_60d,60日波动率风险,风险因子,回撤风险,中性化,0.24232762898835758,2.0488398475387655,0.9285714285714286,0.07212962263907705,28
60,risk_drawdown_60d,距60日高点回撤风险,风险因子,回撤风险,原始,0.05844478184805892,0.33464220804118433,0.6428571428571429,0.015018920534116409,28
60,risk_drawdown_60d,距60日高点回撤风险,风险因子,回撤风险,中性化,0.04286279083501391,0.33952911860332896,0.5714285714285714,0.011649704630943364,28
60,risk_max_return_20d,20日最大单日涨幅风险,风险因子,回撤风险,原始,0.25058818012427364,1.5220513041164176,0.9285714285714286,0.06753865573056267,28
60,risk_max_return_20d,20日最大单日涨幅风险,风险因子,回撤风险,中性化,0.201308540875249,1.6478333077468508,0.9285714285714286,0.056523480734721285,28
60,risk_downside_volatility_60d,60日下行波动率风险,风险因子,回撤风险,原始,0.22663010016150195,1.491993515723004,0.8928571428571429,0.07448493403928125,28
60,risk_downside_volatility_60d,60日下行波动率风险,风险因子,回撤风险,中性化,0.17524352537097282,1.5305171904370396,0.9285714285714286,0.054966207602067094,28
60,risk_residual_volatility_60d,60日残差波动率风险,风险因子,回撤风险,原始,0.28184745610479267,1.9627603892312524,0.9642857142857143,0.08678253927427915,28
60,risk_residual_volatility_60d,60日残差波动率风险,风险因子,回撤风险,中性化,0.22997412201338877,2.2240432223140534,0.9285714285714286,0.07092940426475676,28
60,risk_liquidity_pressure_60d,60日流动性压力,风险因子,回撤风险,原始,-0.047778018505180334,-0.3173744950399032,0.39285714285714285,-0.014262879768714015,28
60,risk_liquidity_pressure_60d,60日流动性压力,风险因子,回撤风险,中性化,-0.0518561332665705,-0.4972860144521603,0.32142857142857145,-0.012692424354613555,28
60,risk_cvar_60d,60日尾部损失（CVaR）,风险因子,回撤风险,原始,0.23542374337864208,1.5160667014656517,0.8928571428571429,0.07451515657627872,28
60,risk_cvar_60d,60日尾部损失（CVaR）,风险因子,回撤风险,中性化,0.18010096543845,1.5119342210188156,0.8928571428571429,0.053099668172770786,28
60,risk_market_beta_60d,60日沪深300 Beta,风险因子,回撤风险,原始,0.11965258072550215,0.5314388469853597,0.6071428571428571,0.02790450016824564,28
60,risk_market_beta_60d,60日沪深300 Beta,风险因子,回撤风险,中性化,0.05593709829258554,0.36019047522335607,0.5714285714285714,0.014707297250375534,28
60,risk_healthcare_beta_60d,60日医疗板块Beta,风险因子,回撤风险,原始,0.19088626444440654,0.9301092787061753,0.8214285714285714,0.05280001458856175,28
60,risk_healthcare_beta_60d,60日医疗板块Beta,风险因子,回撤风险,中性化,0.1381358825893619,0.9793259542276996,0.7857142857142857,0.04454106526629742,28
60,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,风险因子,回撤风险,原始,0.2350485847153229,1.6174375513634656,0.8928571428571429,0.07283100293920464,28
60,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,风险因子,回撤风险,中性化,0.16084817952067612,1.6075096160021534,0.9642857142857143,0.042447044157386024,28
