horizon_sessions,test_year,model,factor,factor_label,coefficient
60,2024,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.00235913104672572
60,2024,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.0010837779739484895
60,2024,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0023537214304087907
60,2024,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.010289261580948662
60,2025,收益模型,trend_5d,5日趋势,0.002161027978945439
60,2025,收益模型,trend_20d,20日趋势,-0.003329590215473844
60,2025,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.004424565760437861
60,2025,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.007825069966966093
60,2025,收益模型,value_bp,账面市值比（BP）,0.0032326556819834876
60,2025,收益模型,value_ep,盈利收益率（EP）,-0.0033538299843963656
60,2025,收益模型,liquidity_turnover_20d,20日平均换手率,-0.007914910009192545
60,2025,收益模型,crowding_max_return_20d,20日最大单日涨幅,-0.004376725030147699
60,2025,基础回撤模型,risk_volatility_20d,20日波动率风险,0.006795092352478458
60,2025,基础回撤模型,risk_volatility_60d,60日波动率风险,0.014091896745454465
60,2025,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-8.908338598795541e-05
60,2025,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.0031042913086457235
60,2025,增强回撤模型,risk_volatility_20d,20日波动率风险,-0.005633196052512711
60,2025,增强回撤模型,risk_volatility_60d,60日波动率风险,0.012220441836783457
60,2025,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,0.0019729242074300883
60,2025,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.0056260850232772025
60,2025,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,-0.001073310955230086
60,2025,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.004106675412759087
60,2025,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.0009211112516229327
60,2025,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.0023337560507137142
60,2025,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,0.0006248114884728214
60,2025,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,-0.0014372216074031471
